DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
003902,009,BIO-MEDICAL SCIENCE,.,       0,,
003902,011,BUSINESS MANAGEMENT,      23,       0,,
003902,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
003902,014,CULINARY ARTS,      64,      20,,
003902,015,CYBERSECURITY,      11,.,,
003902,017,DIGITAL COMMUNICATIONS,      16,       8,,
003902,019,EARLY LEARNING,      24,       0,,
003902,020,ELECTRICAL,.,       0,,
003902,021,EMERGENCY SERVICES,      13,       0,,
003902,022,ENGINEERING,       6,       0,,
003902,023,ENTREPRENEURSHIP,      25,       0,,
003902,024,ENVIRONMENTAL AND NATURAL RESOURCES,      30,.,,
003902,025,EXERCISE SCIENCE AND WELLNESS,       5,.,,
003902,026,FAMILY AND COMMUNITY SERVICES,      15,       0,,
003902,027,FOOD AND SCIENCE TECHNOLOGY,      22,.,,
003902,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      45,.,,
003902,031,HEALTH INFORMATICS,      93,.,,
003902,032,HEALTHCARE DIAGNOSTICS,      73,      39,,
003902,033,HEALTHCARE THERAPEUTIC,      73,      39,,
003902,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,       7,.,,
003902,036,LAW ENFORCEMENT,      12,       0,,
003902,037,LEGAL STUDIES,       7,       0,,
003902,039,MANUFACTURING TECHNOLOGY,.,       0,,
003902,040,MARKETING AND SALES,.,       0,,
003902,042,NETWORKING SYSTEMS,      12,.,,
003902,043,NURSING SCIENCE,      74,       0,,
003902,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
003902,045,PLANT SCIENCE,      29,.,,
003902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,.,,
003902,049,RENEWABLE ENERGY,      14,       0,,
003902,050,TEACHING AND TRAINING,      35,      10,,
003902,052,WEB DEVELOPMENT,      14,.,,
003902,059,MEDICAL THERAPY,      74,      33,,
003903,001,ACCOUNTING AND FINANCIAL SERVICES,     273,       6,,
003903,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      24,       0,,
003903,003,AGRIBUSINESS,      10,       0,,
003903,004,ANIMAL SCIENCE,      33,.,,
003903,005,APPLIED AGRICULTURAL ENGINEERING,      39,.,,
003903,006,ARCHITECTURAL DESIGN,      24,      10,,
003903,007,AUTOMOTIVE,      20,      10,,
003903,009,BIO-MEDICAL SCIENCE,       5,       0,,
003903,011,BUSINESS MANAGEMENT,     191,       0,,
003903,012,CARPENTRY,      19,.,,
003903,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,      10,,
003903,014,CULINARY ARTS,      41,.,,
003903,015,CYBERSECURITY,      59,      13,,
003903,017,DIGITAL COMMUNICATIONS,      26,       0,,
003903,019,EARLY LEARNING,      39,       8,,
003903,020,ELECTRICAL,       5,       0,,
003903,021,EMERGENCY SERVICES,       9,       0,,
003903,022,ENGINEERING,      29,       0,,
003903,023,ENTREPRENEURSHIP,     131,.,,
003903,024,ENVIRONMENTAL AND NATURAL RESOURCES,      55,.,,
003903,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
003903,026,FAMILY AND COMMUNITY SERVICES,      91,.,,
003903,027,FOOD AND SCIENCE TECHNOLOGY,       7,       0,,
003903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     152,       8,,
003903,030,HEALTH AND WELLNESS,.,       0,,
003903,031,HEALTH INFORMATICS,     262,      21,,
003903,032,HEALTHCARE DIAGNOSTICS,     134,      16,,
003903,033,HEALTHCARE THERAPEUTIC,     134,      16,,
003903,034,HVAC AND SHEET METAL,.,       0,,
003903,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,      18,       0,,
003903,036,LAW ENFORCEMENT,      59,      16,,
003903,037,LEGAL STUDIES,.,       0,,
003903,039,MANUFACTURING TECHNOLOGY,       6,       0,,
003903,040,MARKETING AND SALES,.,       0,,
003903,041,MASONRY,.,       0,,
003903,042,NETWORKING SYSTEMS,      56,.,,
003903,043,NURSING SCIENCE,     138,      10,,
003903,045,PLANT SCIENCE,      20,       0,,
003903,046,PLUMBING AND PIPEFITTING,      32,       0,,
003903,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,      45,       7,,
003903,050,TEACHING AND TRAINING,      43,.,,
003903,052,WEB DEVELOPMENT,      11,       0,,
003903,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
003903,059,MEDICAL THERAPY,     123,.,,
003903,060,WELDING,      30,       7,,
003903,063,INDUSTRIAL MAINTENANCE,      11,       0,,
003903,064,PRINTING AND IMAGING,      21,.,,
003904,001,ACCOUNTING AND FINANCIAL SERVICES,.,       0,,
003904,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      21,.,,
003904,003,AGRIBUSINESS,      32,       0,,
003904,004,ANIMAL SCIENCE,      11,.,,
003904,005,APPLIED AGRICULTURAL ENGINEERING,      70,      23,,
003904,007,AUTOMOTIVE,.,       0,,
003904,012,CARPENTRY,.,       0,,
003904,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
003904,017,DIGITAL COMMUNICATIONS,.,       0,,
003904,019,EARLY LEARNING,      46,.,,
003904,020,ELECTRICAL,.,       0,,
003904,021,EMERGENCY SERVICES,.,       0,,
003904,022,ENGINEERING,       9,.,,
003904,023,ENTREPRENEURSHIP,      21,       0,,
003904,024,ENVIRONMENTAL AND NATURAL RESOURCES,      52,.,,
003904,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
003904,026,FAMILY AND COMMUNITY SERVICES,      70,.,,
003904,027,FOOD AND SCIENCE TECHNOLOGY,.,       0,,
003904,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,.,       0,,
003904,030,HEALTH AND WELLNESS,.,       0,,
003904,031,HEALTH INFORMATICS,      58,       0,,
003904,032,HEALTHCARE DIAGNOSTICS,      30,      28,,
003904,033,HEALTHCARE THERAPEUTIC,      30,      28,,
003904,034,HVAC AND SHEET METAL,.,       0,,
003904,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
003904,036,LAW ENFORCEMENT,.,       0,,
003904,037,LEGAL STUDIES,.,       0,,
003904,041,MASONRY,.,       0,,
003904,042,NETWORKING SYSTEMS,.,       0,,
003904,043,NURSING SCIENCE,      46,       5,,
003904,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
003904,045,PLANT SCIENCE,.,       0,,
003904,046,PLUMBING AND PIPEFITTING,.,       0,,
003904,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
003904,049,RENEWABLE ENERGY,.,       0,,
003904,050,TEACHING AND TRAINING,      41,      12,,
003904,052,WEB DEVELOPMENT,.,       0,,
003904,054,CONSTRUCTION MANAGEMENT AND INSPECTION,.,       0,,
003904,059,MEDICAL THERAPY,      29,      21,,
003904,060,WELDING,.,       0,,
003905,001,ACCOUNTING AND FINANCIAL SERVICES,     106,.,,
003905,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,       9,       0,,
003905,003,AGRIBUSINESS,       6,       0,,
003905,004,ANIMAL SCIENCE,      23,       0,,
003905,005,APPLIED AGRICULTURAL ENGINEERING,      91,.,,
003905,006,ARCHITECTURAL DESIGN,.,       0,,
003905,011,BUSINESS MANAGEMENT,      99,       9,,
003905,013,COSMETOLOGY AND PERSONAL CARE SERVICES,.,       0,,
003905,014,CULINARY ARTS,      18,       6,,
003905,017,DIGITAL COMMUNICATIONS,      27,       0,,
003905,019,EARLY LEARNING,.,       0,,
003905,021,EMERGENCY SERVICES,       9,       0,,
003905,022,ENGINEERING,.,       0,,
003905,023,ENTREPRENEURSHIP,      65,.,,
003905,024,ENVIRONMENTAL AND NATURAL RESOURCES,      13,       0,,
003905,025,EXERCISE SCIENCE AND WELLNESS,      31,       5,,
003905,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
003905,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,     104,       8,,
003905,031,HEALTH INFORMATICS,     116,.,,
003905,032,HEALTHCARE DIAGNOSTICS,      86,      45,,
003905,033,HEALTHCARE THERAPEUTIC,      86,      45,,
003905,035,INFORMATION TECHNOLOGY SUPPORT AND SERVICES,.,       0,,
003905,036,LAW ENFORCEMENT,      10,       0,,
003905,037,LEGAL STUDIES,.,       0,,
003905,040,MARKETING AND SALES,      20,.,,
003905,042,NETWORKING SYSTEMS,.,       0,,
003905,043,NURSING SCIENCE,      96,       0,,
003905,044,OIL AND GAS EXPLORATION AND PRODUCTION,.,       0,,
003905,045,PLANT SCIENCE,      44,.,,
003905,050,TEACHING AND TRAINING,.,       0,,
003905,051,"TRAVEL, TOURISM, AND ATTRACTIONS",      10,       0,,
003905,052,WEB DEVELOPMENT,.,       0,,
003905,059,MEDICAL THERAPY,     113,      11,,
003906,001,ACCOUNTING AND FINANCIAL SERVICES,      12,       0,,
003906,004,ANIMAL SCIENCE,      12,       0,,
003906,005,APPLIED AGRICULTURAL ENGINEERING,      14,       0,,
003906,014,CULINARY ARTS,      15,       0,,
003906,017,DIGITAL COMMUNICATIONS,.,       0,,
003906,024,ENVIRONMENTAL AND NATURAL RESOURCES,.,       0,,
003906,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
003906,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
003906,030,HEALTH AND WELLNESS,.,       0,,
003906,038,LODGING AND RESORT MANAGEMENT,.,       0,,
003906,045,PLANT SCIENCE,.,       0,,
003906,050,TEACHING AND TRAINING,.,       0,,
003906,060,WELDING,       0,.,,
003907,001,ACCOUNTING AND FINANCIAL SERVICES,      24,       0,,
003907,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,      21,       0,,
003907,003,AGRIBUSINESS,      15,       0,,
003907,004,ANIMAL SCIENCE,      64,      24,,
003907,005,APPLIED AGRICULTURAL ENGINEERING,      96,      22,,
003907,011,BUSINESS MANAGEMENT,      17,       0,,
003907,014,CULINARY ARTS,      45,.,,
003907,017,DIGITAL COMMUNICATIONS,.,       0,,
003907,021,EMERGENCY SERVICES,.,       0,,
003907,023,ENTREPRENEURSHIP,.,       0,,
003907,024,ENVIRONMENTAL AND NATURAL RESOURCES,      39,       8,,
003907,026,FAMILY AND COMMUNITY SERVICES,.,       0,,
003907,027,FOOD AND SCIENCE TECHNOLOGY,      16,       0,,
003907,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,      18,       0,,
003907,030,HEALTH AND WELLNESS,.,       0,,
003907,031,HEALTH INFORMATICS,      78,       0,,
003907,032,HEALTHCARE DIAGNOSTICS,      33,      47,,
003907,033,HEALTHCARE THERAPEUTIC,      33,      47,,
003907,037,LEGAL STUDIES,.,       0,,
003907,043,NURSING SCIENCE,      79,       0,,
003907,045,PLANT SCIENCE,     107,       8,,
003907,046,PLUMBING AND PIPEFITTING,.,       0,,
003907,050,TEACHING AND TRAINING,.,       0,,
003907,059,MEDICAL THERAPY,      71,       7,,
